theta,a,b,A2,z,status
4.0,11.8,30,0,-4.0,NotYet
4.0,11.8,30,0,-3.8,NotYet
4.0,11.8,30,0,-3.6,NotYet
4.0,11.8,30,0,-3.4,NotYet
4.0,11.8,30,0,-3.2,NotYet
4.0,11.8,30,0,-3.0,NotYet
4.0,11.8,30,0,-2.8,NotYet
4.0,11.8,30,0,-2.6,NotYet
4.0,11.8,30,0,-2.4,NotYet
4.0,11.8,30,0,-2.2,NotYet
4.0,11.8,30,0,-2.0,NotYet
4.0,11.8,30,0,-1.8,NotYet
4.0,11.8,30,0,-1.6,NotYet
4.0,11.8,30,0,-1.4,NotYet
4.0,11.8,30,0,-1.2,NotYet
4.0,11.8,30,0,-1.0,NotYet
4.0,11.8,30,0,-0.8,NotYet
4.0,11.8,30,0,-0.6,NotYet
4.0,11.8,30,0,-0.4,NotYet
4.0,11.8,30,0,-0.2,NotYet
4.0,11.8,30,0,0.0,NotYet
4.0,11.8,30,0,0.2,NotYet
4.0,11.8,30,0,0.4,NotYet
4.0,11.8,30,0,0.6,NotYet
4.0,11.8,30,0,0.8,NotYet
4.0,11.8,30,0,1.0,NotYet
4.0,11.8,30,0,1.2,NotYet
4.0,11.8,30,0,1.4,NotYet
4.0,11.8,30,0,1.6,NotYet
4.0,11.8,30,0,1.8,NotYet
4.0,11.8,30,0,2.0,NotYet
4.0,11.8,30,0,2.2,NotYet
4.0,11.8,30,0,2.4,NotYet
4.0,11.8,30,0,2.6,NotYet
4.0,11.8,30,0,2.8,NotYet
4.0,11.8,30,0,3.0,NotYet
4.0,11.8,30,0,3.2,NotYet
4.0,11.8,30,0,3.4,NotYet
4.0,11.8,30,0,3.6,NotYet
4.0,11.8,30,0,3.8,NotYet
4.0,11.8,30,0,4.0,NotYet
